BARCAŚ	(.|#|)bartsaS(.|#|)
GÓRUCY	(.|#|)gEruts1(.|#|)
GÓSĆEŃC	(.|#|)gEstSeJts(.|#|)
GÓSĆEŃC	(.|#|)g1stSEnts(.|#|)
GRAKANJE	(.|#|)grakaJE(.|#|)
GRAŚ	(.|#|)graS(.|#|)
GRIMNUŚ	(.|#|)grjimnuS(.|#|)
GRONIŚ	(.|#|)grOJiS(.|#|)
GROPNY	(.|#|)grOpn1(.|#|)
GROZNJE	(.|#|)grOzJE(.|#|)
GROZNY	(.|#|)grOzn1(.|#|)
JADNORJE	(.|#|)jadnOrjE(.|#|)
JADNORY	(.|#|)jadnOr1(.|#|)
JĚDERNY	(.|#|)jjidErn1(.|#|)
JĚROSĆ	(.|#|)jjirOstS(.|#|)
JĚRY	(.|#|)jjir1(.|#|)
JĚŚ	(.|#|)jjiS(.|#|)
JĚZA	(.|#|)jjiza(.|#|)
JĚZDŹIŚ	(.|#|)jjizdZiS(.|#|)
JĚŹ	(.|#|)jjiS(.|#|)
KAŠĆIK	(.|#|)kaStSik(.|#|)
KAZAŚ	(.|#|)kazaS(.|#|)
KLAPAŚ	(.|#|)klapaS(.|#|)
KÓZOŁ	(.|#|)k1zoU(.|#|)
KRADOSĆIWJE	(.|#|)kradOstSiwE(.|#|)
KRADU	(.|#|)kradu(.|#|)
MĚRA	(.|#|)mjira(.|#|)
MĚRIŚ	(.|#|)mjirjiS(.|#|)
MĚRNJE	(.|#|)mjirJE(.|#|)
MĚRNY	(.|#|)mjirn1(.|#|)
MĚŠAŚ	(.|#|)mjiSaS(.|#|)
MĚSTNO	(.|#|)mjistnO(.|#|)
MIMOMĚRY	(.|#|)mimOmjir1(.|#|)
MINUŚ	(.|#|)minuS(.|#|)
MJERWJEŃCA	(.|#|)mErweJtsa(.|#|)
MÓCNJE	(.|#|)mEtsJE(.|#|)
MÓCNJE	(.|#|)m1tsJE(.|#|)
MUDRY	(.|#|)mudr1(.|#|)
NACERJOWAŚ	(.|#|)natsErjoUaS(.|#|)
NAGLĚD	(.|#|)nagljjit(.|#|)
NAGŁY	(.|#|)nagw1(.|#|)
NAPÓRAŚ	(.|#|)nap1raS(.|#|)
NAROWNAŚ	(.|#|)naroUnaS(.|#|)
NARSKI	(.|#|)narskji(.|#|)
NATWARIŚ	(.|#|)natwarjiS(.|#|)
NJEDARA	(.|#|)JEdara(.|#|)
NJEMUDRY	(.|#|)nJEmudr1(.|#|)
NJERAŹIŚ	(.|#|)JEraZiS(.|#|)
NJERODNJE	(.|#|)JErOdJE(.|#|)
NJERODNOSĆ	(.|#|)JErOdnOstS(.|#|)
NJERODNY	(.|#|)JErOdn1(.|#|)
NJEROŹ	(.|#|)JErOS(.|#|)
NJEROZYM	(.|#|)JErOz1m(.|#|)
NJESROMNJE	(.|#|)JEsrOmJE(.|#|)
NJESROMNY	(.|#|)JEsrOmn1(.|#|)
NJEWÓTSROMANY	(.|#|)JEwEtsrOman1(.|#|)
NJEWÓTSROMANY	(.|#|)JEw1tsrOman1(.|#|)
PJEKORIŚ	(.|#|)pEkOrjiS(.|#|)
PÓCHMURNY	(.|#|)pExmurn1(.|#|)
PÓCHMURNY	(.|#|)p1xmurn1(.|#|)
PÓDNURIŚ	(.|#|)p1dnurjiS(.|#|)
PÓDNURIŚ	(.|#|)pEdnurjiS(.|#|)
PÓDNURJAŚ	(.|#|)p1dnurjaS(.|#|)
PÓDNURJAŚ	(.|#|)pEdnurjaS(.|#|)
PÓDPĚRAŚ	(.|#|)pEtpjiraS(.|#|)
PÓDPĚRAŚ	(.|#|)p1tpjiraS(.|#|)
PÓDPRĚŚ	(.|#|)pEtprjjiS(.|#|)
PÓDPRĚŚ	(.|#|)p1tprjjiS(.|#|)
PÓDŠMARNUŚ	(.|#|)pEtSmarnuS(.|#|)
PÓDŠMARNUŚ	(.|#|)p1tSmarnuS(.|#|)
PÓGÓNIŚ	(.|#|)pEgEJiS(.|#|)
PÓGÓNJOWAŚ	(.|#|)pEgEJoUaS(.|#|)
PÓRAŚ	(.|#|)pEraS(.|#|)
PRASKAŚ	(.|#|)praskaS(.|#|)
PRASNUŚ	(.|#|)prasnuS(.|#|)
PRĚDK	(.|#|)prjjitk(.|#|)
PŚERUBAŚ	(.|#|)pSErubaS(.|#|)
PŚETRAŚ	(.|#|)pSEtraS(.|#|)
PŚEWOBROŚIŚ	(.|#|)pSEObrOSiS(.|#|)
PŚEWOBROŚOWAŚ	(.|#|)pSEObrOSoUaS(.|#|)
PŚIPRASKAŚ	(.|#|)pSipraskaS(.|#|)
PŚIRĚZAŚ	(.|#|)pSirjjizaS(.|#|)
PŚIRĚZOWAŚ	(.|#|)pSirjjizoUaS(.|#|)
PŚIWOBROŚIŚ	(.|#|)pSiObrOSiS(.|#|)
PŚIWOBROŚOWAŚ	(.|#|)pSiObrOSoUaS(.|#|)
PUŠĆAŚ	(.|#|)puStSaS(.|#|)
RADNJE	(.|#|)radJE(.|#|)
RADNY	(.|#|)radn1(.|#|)
RAŹIŚ	(.|#|)raZiS(.|#|)
RAZ	(.|#|)ras(.|#|)
RĚDKI	(.|#|)rjjitkji(.|#|)
RĚDNY	(.|#|)rjjidn1(.|#|)
RĚD	(.|#|)rjjit(.|#|)
RĚZNUŚ	(.|#|)rjjiznuS(.|#|)
ROD	(.|#|)rOt(.|#|)
ROLA	(.|#|)rOla(.|#|)
ROWNAŚ	(.|#|)roUnaS(.|#|)
ROWNOWEN	(.|#|)roUnoUEn(.|#|)
ROZBĚŽAŚ	(.|#|)rOzbjiZaS(.|#|)
ROZBIJAŚ	(.|#|)rOzbijaS(.|#|)
ROZBIŚ	(.|#|)rOzbiS(.|#|)
ROZBUŹOWAŚ	(.|#|)rOzbuZoUaS(.|#|)
ROZĆĚGNUŚ	(.|#|)rOstSjignuS(.|#|)
ROZĆĚGOWAŚ	(.|#|)rOstSjigoUaS(.|#|)
ROZGLĚD	(.|#|)rOzgljjit(.|#|)
ROŽK	(.|#|)rOSk(.|#|)
ROZMYSLOWAŚ	(.|#|)rOzm1sloUaS(.|#|)
ROZPYRIŚ	(.|#|)rOsp1rjiS(.|#|)
ROZSUŹIŚ	(.|#|)rOsuZiS(.|#|)
ROZSUŹOWAŚ	(.|#|)rOsuZoUaS(.|#|)
ROZŠYRIŚ	(.|#|)rOsS1rjiS(.|#|)
ROZŠYRJAŚ	(.|#|)rOsS1rjaS(.|#|)
ROZŠYRJENJE	(.|#|)rOsS1reJE(.|#|)
ROZŠYRJOWAŚ	(.|#|)rOsS1rjoUaS(.|#|)
ROZWĚZAŚ	(.|#|)rOzwjizaS(.|#|)
ROZWĚZOWAŚ	(.|#|)rOzwjizoUaS(.|#|)
ROZWIJAŚ	(.|#|)rOzwijaS(.|#|)
ROZWIŚ	(.|#|)rOzwiS(.|#|)
ROZYMLIWY	(.|#|)rOz1mljiw1(.|#|)
ROZYM	(.|#|)rOz1m(.|#|)
RUBAŚ	(.|#|)rubaS(.|#|)
RYŚ	(.|#|)r1S(.|#|)
SE	(.|#|)sE(.|#|)
ŠKJARCAŚ	(.|#|)SkjartsaS(.|#|)
SKJARŽYŚ	(.|#|)skjarZ1S(.|#|)
SKÓŃCOWAŚ	(.|#|)skEJtsoUaS(.|#|)
ŠMARA	(.|#|)Smara(.|#|)
SPÓDOBNY	(.|#|)sp1dObn1(.|#|)
SPÓDOBNY	(.|#|)spEdObn1(.|#|)
SPÓRAŚ	(.|#|)spEraS(.|#|)
SPÓRAŚ	(.|#|)sp1raS(.|#|)
SPROCNIWY	(.|#|)sprOtsJiw1(.|#|)
STARAŚ	(.|#|)staraS(.|#|)
STARCYŚ	(.|#|)starts1S(.|#|)
STARKAŚ	(.|#|)starkaS(.|#|)
ŠUROWAŚ	(.|#|)SuroUaS(.|#|)
SWÓJ	(.|#|)swEji(.|#|)
TERGAŚ	(.|#|)tErgaS(.|#|)
TRĚŚ	(.|#|)trjjiS(.|#|)
TUSNUŚ	(.|#|)tusnuS(.|#|)
TUŽYCA	(.|#|)tuZ1tsa(.|#|)
WARCAŚ	(.|#|)wartsaS(.|#|)
WARCATY	(.|#|)wartsat1(.|#|)
WAWRJAWA	(.|#|)waUrjaUa(.|#|)
WAWRJENJE	(.|#|)waUreJE(.|#|)
WOBGRONIŚ	(.|#|)hObgrOJiS(.|#|)
WOBGROŹENJE	(.|#|)QObgrOZeJE(.|#|)
WOBGROŹIŚ	(.|#|)hObgrOZiS(.|#|)
WOBGROŹOWAŚ	(.|#|)hObgrOZoUaS(.|#|)
WOBŁOŽENJE	(.|#|)hObwOZEJE(.|#|)
WOBMANIŚ	(.|#|)hObmaJiS(.|#|)
WOBROŚIŚ	(.|#|)hObrOSiS(.|#|)
WOBROŚIŚ	(.|#|)ObrOSiS(.|#|)
WOBROŚOWAŚ	(.|#|)hObrOSoUaS(.|#|)
WOBRUBIŚ	(.|#|)hObrubiS(.|#|)
WOBSTARAŚ	(.|#|)hOpstaraS(.|#|)
WOBTWARŹIŚ	(.|#|)QOptwarZiS(.|#|)
WOBTWARŹOWAŚ	(.|#|)hOptwarZoUaS(.|#|)
WOBZWARNOWAŚ	(.|#|)QObzwarnoUaS(.|#|)
WÓSEBNJE	(.|#|)wEsEbJE(.|#|)
WÓSŁABJENJE	(.|#|)wEswabeJE(.|#|)
WÓSŁABJENJE	(.|#|)w1swabeJE(.|#|)
WÓTEBĚRAŚ	(.|#|)w1tEbjiraS(.|#|)
WÓTEGRANJAŚ	(.|#|)wEtEgraJaS(.|#|)
WÓTEGRONIŚ	(.|#|)wEtEgrOJiS(.|#|)
WÓTEGRONIŚ	(.|#|)w1tEgrOJiS(.|#|)
WÓTGRANJAŚ	(.|#|)w1dgraJaS(.|#|)
WÓTGRANJAŚ	(.|#|)wEdgraJaS(.|#|)
WÓTGRONIŚ	(.|#|)w1dgrOJiS(.|#|)
WÓTŠĆIPOWAŚ	(.|#|)wEtStSipoUaS(.|#|)
WÓTŠĆIPOWAŚ	(.|#|)w1tStSipoUaS(.|#|)
WÓTSTARCYŚ	(.|#|)wEtstarts1S(.|#|)
WÓTSTARCYŚ	(.|#|)w1tstarts1S(.|#|)
WÓTTERGNUŚ	(.|#|)wEtErgnuS(.|#|)
WÓTTERGNUŚ	(.|#|)w1tErgnuS(.|#|)
WÓTWÓRJAŚ	(.|#|)wEtwErjaS(.|#|)
WÓTŹARŽOWAŚ	(.|#|)w1dZarZoUaS(.|#|)
WÓTŹARŽOWAŚ	(.|#|)wEdZarZoUaS(.|#|)
WÓŹIŚ	(.|#|)wEZiS(.|#|)
WUBĚRNY	(.|#|)hubjirn1(.|#|)
WUBRAŚ	(.|#|)hubraS(.|#|)
WUDERIŚ	(.|#|)hudErjiS(.|#|)
WUDRAPAŚ	(.|#|)hudrapaS(.|#|)
WUGRĚBAŚ	(.|#|)hugrjjibaS(.|#|)
WUMYSLIŚ	(.|#|)hum1sljiS(.|#|)
WUPÓRAŚ	(.|#|)hupEraS(.|#|)
WUPŚESTRĚWAŚ	(.|#|)hupSEstrjjiwaS(.|#|)
WUROWNANJE	(.|#|)huroUnaJE(.|#|)
WUROWNAŚ	(.|#|)huroUnaS(.|#|)
WUROWNOWAŚ	(.|#|)huroUnoUaS(.|#|)
WURYŚ	(.|#|)hur1S(.|#|)
WUSTRĚŚ	(.|#|)hustrjjiS(.|#|)
WUSTRĚWAŚ	(.|#|)hustrjjiwaS(.|#|)
WUŹĚRAŚ	(.|#|)huZjiraS(.|#|)
WUZGÓNIŚ	(.|#|)uzgEJiS(.|#|)
WUZGÓNIŚ	(.|#|)uzg1JiS(.|#|)
WUZGÓNJOWAŚ	(.|#|)huzgEJoUaS(.|#|)
WUZWÓLOWAŚ	(.|#|)uzwEloUaS(.|#|)
ZACRĚŚ	(.|#|)zatsrjjiS(.|#|)
ZAŁAPIŚ	(.|#|)zaUapiS(.|#|)
ZALĚZĆ	(.|#|)zaljjistS(.|#|)
ZAMÓŽNY	(.|#|)zamEZn1(.|#|)
ZAPRASNUŚ	(.|#|)zaprasnuS(.|#|)
ZAPRĚŚ	(.|#|)zaprjjiS(.|#|)
ZARĚDOWAŚ	(.|#|)zarjjidoUaS(.|#|)
ZAROSĆ	(.|#|)zarOstS(.|#|)
ZAROWNANJE	(.|#|)zaroUnaJE(.|#|)
ZAROWNAŚ	(.|#|)zaroUnaS(.|#|)
ZAROWNOWAŚ	(.|#|)zaroUnoUaS(.|#|)
ŹARŽANJE	(.|#|)ZarZaJE(.|#|)
ŹARŽAŚ	(.|#|)ZarZaS(.|#|)
ZAŹARŽAŚ	(.|#|)zaZarZaS(.|#|)
ZAŹARŽOWAŚ	(.|#|)zaZarZoUaS(.|#|)
ZBĚRAŚ	(.|#|)zbjiraS(.|#|)
ZEBRAŚ	(.|#|)zEbraS(.|#|)
ZEDRANY	(.|#|)zEdran1(.|#|)
ZEPĚRAŚ	(.|#|)zEpjiraS(.|#|)
ZEPRĚŚ	(.|#|)zEprjjiS(.|#|)
ŹĚRA	(.|#|)Zjira(.|#|)
ZGRABAŚ	(.|#|)zgrabaS(.|#|)
ZMÓTANY	(.|#|)zmEtan1(.|#|)
ZMÓTANY	(.|#|)zm1tan1(.|#|)
ŽRAŚ	(.|#|)ZraS(.|#|)
ZROWNAŚ	(.|#|)zroUnaS(.|#|)
ZROZBIJAŚ	(.|#|)zrOzbijaS(.|#|)
10EUROWKA	(.|#|)10EurOuka(.|#|)
10EUROWKA	(.|#|)10Eurouka(.|#|)
10EUROWKA	(.|#|)Q10EurOuka(.|#|)
10EUROWKA	(.|#|)Q10Eurouka(.|#|)
A	(.|#|)a(.|#|)
A	(.|#|)Qa(.|#|)
ABBÉ	(.|#|)abE(.|#|)
ABBÉ	(.|#|)QabE(.|#|)
ABCBRONI	(.|#|)abtsbrOni(.|#|)
ABCBRONI	(.|#|)QabtsbrOni(.|#|)
ABCSTATY	(.|#|)abtsstat1(.|#|)
ABCSTATY	(.|#|)Qabtsstat1(.|#|)
ABEJCEJ	(.|#|)abejtsej(.|#|)
ABEJCEJ	(.|#|)Qabejtsej(.|#|)
ABEJCEJAŔ	(.|#|)abejtsejar(.|#|)
ABEJCEJAŔ	(.|#|)Qabejtsejar(.|#|)
ABEJCEJBRONI	(.|#|)abejtsejbrOni(.|#|)
ABEJCEJBRONI	(.|#|)QabejtsejbrOni(.|#|)
ABEJCEJNICOW	(.|#|)abejtsejnitsO(.|#|)
ABEJCEJNICOW	(.|#|)abejtsejnitso(.|#|)
ABEJCEJNICOW	(.|#|)QabejtsejnitsO(.|#|)
ABEJCEJNICOW	(.|#|)Qabejtsejnitso(.|#|)
ABF	(.|#|)abf(.|#|)
ABF	(.|#|)Qabf(.|#|)
ABI	(.|#|)abi(.|#|)
ABI	(.|#|)Qabi(.|#|)
ABIJOM	(.|#|)abijOm(.|#|)
ABIJOM	(.|#|)QabijOm(.|#|)
ABITURA	(.|#|)abitura(.|#|)
ABITURA	(.|#|)Qabitura(.|#|)
ABITURIENT	(.|#|)abituriEnt(.|#|)
ABITURIENT	(.|#|)QabituriEnt(.|#|)
ABITURNE	(.|#|)abiturnE(.|#|)
ABITURNE	(.|#|)QabiturnE(.|#|)
ABLAWT	(.|#|)ablaut(.|#|)
ABLAWT	(.|#|)Qablaut(.|#|)
ABLAWTOWALI	(.|#|)ablautOwali(.|#|)
ABLAWTOWALI	(.|#|)ablautowali(.|#|)
ABLAWTOWALI	(.|#|)QablautOwali(.|#|)
ABLAWTOWALI	(.|#|)Qablautowali(.|#|)
ABLAWTUJOM	(.|#|)ablautujOm(.|#|)
ABLAWTUJOM	(.|#|)QablautujOm(.|#|)
ABLAWTY	(.|#|)ablaut1(.|#|)
ABLAWTY	(.|#|)Qablaut1(.|#|)
ABM	(.|#|)abm(.|#|)
ABM	(.|#|)Qabm(.|#|)
ABMDOGRONO	(.|#|)abmdOgrOnO(.|#|)
ABMDOGRONO	(.|#|)QabmdOgrOnO(.|#|)
ABMMÓC	(.|#|)abmUts(.|#|)
ABMMÓC	(.|#|)QabmUts(.|#|)
ABMMĚSTNO	(.|#|)abmjistnO(.|#|)
ABMMĚSTNO	(.|#|)QabmjistnO(.|#|)
ABMNICA	(.|#|)abmnitsa(.|#|)
ABMNICA	(.|#|)Qabmnitsa(.|#|)
ABMNIK	(.|#|)abmnik(.|#|)
ABMNIK	(.|#|)Qabmnik(.|#|)
ABMNIKA	(.|#|)abmnika(.|#|)
ABMNIKA	(.|#|)Qabmnika(.|#|)
ABNORMALNOSĆ	(.|#|)abnOrmalnOstS(.|#|)
ABNORMALNOSĆ	(.|#|)abnOrmalnOStS(.|#|)
ABNORMALNOSĆ	(.|#|)QabnOrmalnOstS(.|#|)
ABNORMALNOSĆ	(.|#|)QabnOrmalnOStS(.|#|)
ABNORMALNY	(.|#|)abnOrmaln1(.|#|)
ABNORMALNY	(.|#|)QabnOrmaln1(.|#|)
ABNORMNJE	(.|#|)abnOrmn(j|)E(.|#|)
ABNORMNJE	(.|#|)QabnOrmn(j|)E(.|#|)
ABNORMNOSĆ	(.|#|)abnOrmnOstS(.|#|)
ABNORMNOSĆ	(.|#|)abnOrmnOStS(.|#|)
ABNORMNOSĆ	(.|#|)QabnOrmnOstS(.|#|)
ABNORMNOSĆ	(.|#|)QabnOrmnOStS(.|#|)
ABNORMNU	(.|#|)abnOrmnu(.|#|)
ABNORMNU	(.|#|)QabnOrmnu(.|#|)
ABNORMNY	(.|#|)abnOrmn1(.|#|)
ABNORMNY	(.|#|)QabnOrmn1(.|#|)
ABO	(.|#|)abO(.|#|)
ABO	(.|#|)QabO(.|#|)
ABONEMENT	(.|#|)abOnEmEnt(.|#|)
ABONEMENT	(.|#|)QabOnEmEnt(.|#|)
ABONEMENTA	(.|#|)abOnEmEnta(.|#|)
ABONEMENTA	(.|#|)QabOnEmEnta(.|#|)
ABONĚROWAT	(.|#|)abOnjirOwat(.|#|)
ABONĚROWAT	(.|#|)abOnjirowat(.|#|)
ABONĚROWAT	(.|#|)QabOnjirOwat(.|#|)
ABONĚROWAT	(.|#|)QabOnjirowat(.|#|)
ABORTĚROWANEM	(.|#|)abOrtjirOwanEm(.|#|)
ABORTĚROWANEM	(.|#|)abOrtjirowanEm(.|#|)
ABORTĚROWANEM	(.|#|)QabOrtjirOwanEm(.|#|)
ABORTĚROWANEM	(.|#|)QabOrtjirowanEm(.|#|)
ABRAHAMOWEJ	(.|#|)abrahamOwej(.|#|)
ABRAHAMOWEJ	(.|#|)abrahamowej(.|#|)
ABRAHAMOWEJ	(.|#|)QabrahamOwej(.|#|)
ABRAHAMOWEJ	(.|#|)Qabrahamowej(.|#|)
ABRAKADABRA	(.|#|)abrakadabra(.|#|)
ABRAKADABRA	(.|#|)Qabrakadabra(.|#|)
ABREWIATURA	(.|#|)abrEwiatura(.|#|)
ABREWIATURA	(.|#|)QabrEwiatura(.|#|)
ABRUPTNJE	(.|#|)abruptn(j|)E(.|#|)
ABRUPTNJE	(.|#|)Qabruptn(j|)E(.|#|)
ABRUPTNY	(.|#|)abruptn1(.|#|)
ABRUPTNY	(.|#|)Qabruptn1(.|#|)
ABSCES	(.|#|)apstsEs(.|#|)
ABSCES	(.|#|)QapstsEs(.|#|)
ABSCISA	(.|#|)apstsisa(.|#|)
ABSCISA	(.|#|)Qapstsisa(.|#|)
ABSINT	(.|#|)apsint(.|#|)
ABSINT	(.|#|)Qapsint(.|#|)
ABSOLUCIJA	(.|#|)apsOlutsija(.|#|)
ABSOLUCIJA	(.|#|)QapsOlutsija(.|#|)
ABSOLUTISTISKEJE	(.|#|)apsOlutistiskejE(.|#|)
ABSOLUTISTISKEJE	(.|#|)QapsOlutistiskejE(.|#|)
ABSOLUTIZM	(.|#|)apsOlutizm(.|#|)
ABSOLUTIZM	(.|#|)QapsOlutizm(.|#|)
ABSOLUTNJE	(.|#|)apsOlutn(j|)E(.|#|)
ABSOLUTNJE	(.|#|)QapsOlutn(j|)E(.|#|)
ABSOLWĚROWACHU	(.|#|)apsOlwjirOwaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)apsOlwjirowaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)QapsOlwjirOwaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)QapsOlwjirowaxu(.|#|)
ABSORBCIJA	(.|#|)apsOrbtsija(.|#|)
ABSORBCIJA	(.|#|)QapsOrbtsija(.|#|)
ABSORBER	(.|#|)apsOrbEr(.|#|)
ABSORBER	(.|#|)QapsOrbEr(.|#|)
ABSORBĚROWANJE	(.|#|)apsOrbjirOwan(j|)E(.|#|)
ABSORBĚROWANJE	(.|#|)apsOrbjirowan(j|)E(.|#|)
ABSORBĚROWANJE	(.|#|)QapsOrbjirOwan(j|)E(.|#|)
ABSORBĚROWANJE	(.|#|)QapsOrbjirowan(j|)E(.|#|)
ABSORBĚROWAŚ	(.|#|)apsOrbjirOwaS(.|#|)
ABSORBĚROWAŚ	(.|#|)apsOrbjirowaS(.|#|)
ABSORBĚROWAŚ	(.|#|)QapsOrbjirOwaS(.|#|)
ABSORBĚROWAŚ	(.|#|)QapsOrbjirowaS(.|#|)
ABSTINENCA	(.|#|)apstinEntsa(.|#|)
ABSTINENCA	(.|#|)QapstinEntsa(.|#|)
ABSTINENCLARCE	(.|#|)apstinEntslartsE(.|#|)
ABSTINENCLARCE	(.|#|)QapstinEntslartsE(.|#|)
ABSTINENCLARKA	(.|#|)apstinEntslarka(.|#|)
ABSTINENCLARKA	(.|#|)QapstinEntslarka(.|#|)
ABSTINENCLAŔ	(.|#|)apstinEntslar(.|#|)
ABSTINENCLAŔ	(.|#|)QapstinEntslar(.|#|)
ABSTINENTNJE	(.|#|)apstinEntn(j|)E(.|#|)
ABSTINENTNJE	(.|#|)QapstinEntn(j|)E(.|#|)
ABSTINENTNOSĆ	(.|#|)apstinEntnOstS(.|#|)
ABSTINENTNOSĆ	(.|#|)apstinEntnOStS(.|#|)
ABSTINENTNOSĆ	(.|#|)QapstinEntnOstS(.|#|)
ABSTINENTNOSĆ	(.|#|)QapstinEntnOStS(.|#|)
ABSTINENTNY	(.|#|)apstinEntn1(.|#|)
ABSTINENTNY	(.|#|)QapstinEntn1(.|#|)
ABSTRAHĚROWACHU	(.|#|)apstrajirOwaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)apstrajirowaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)QapstrajirOwaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)Qapstrajirowaxu(.|#|)
ABSTRAHĚROWAŚ	(.|#|)apstrajirOwaS(.|#|)
ABSTRAHĚROWAŚ	(.|#|)apstrajirowaS(.|#|)
ABSTRAHĚROWAŚ	(.|#|)QapstrajirOwaS(.|#|)
ABSTRAHĚROWAŚ	(.|#|)QapstrajirowaS(.|#|)
ABSTRAKCIJA	(.|#|)apstraktsija(.|#|)
ABSTRAKCIJA	(.|#|)Qapstraktsija(.|#|)
ABSTRAKTNOSĆ	(.|#|)apstraktnOstS(.|#|)
ABSTRAKTNOSĆ	(.|#|)apstraktnOStS(.|#|)
ABSTRAKTNOSĆ	(.|#|)QapstraktnOstS(.|#|)
ABSTRAKTNOSĆ	(.|#|)QapstraktnOStS(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)apstraktnOstSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)apstraktnOStSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)QapstraktnOstSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)QapstraktnOStSami(.|#|)
ABSTRAKTUM	(.|#|)apstraktum(.|#|)
ABSTRAKTUM	(.|#|)Qapstraktum(.|#|)
ABSTRUZNEJ	(.|#|)apstruznej(.|#|)
ABSTRUZNEJ	(.|#|)Qapstruznej(.|#|)
ABSTRUZNY	(.|#|)apstruzn1(.|#|)
ABSTRUZNY	(.|#|)Qapstruzn1(.|#|)
ABSURDNJE	(.|#|)apsurdn(j|)E(.|#|)
ABSURDNJE	(.|#|)Qapsurdn(j|)E(.|#|)
ABSURDNOSĆ	(.|#|)apsurdnOstS(.|#|)
ABSURDNOSĆ	(.|#|)apsurdnOStS(.|#|)
ABSURDNOSĆ	(.|#|)QapsurdnOstS(.|#|)
ABSURDNOSĆ	(.|#|)QapsurdnOStS(.|#|)
ABSURDNY	(.|#|)apsurdn1(.|#|)
ABSURDNY	(.|#|)Qapsurdn1(.|#|)
ABT	(.|#|)abt(.|#|)
ABT	(.|#|)Qabt(.|#|)
ABTACH	(.|#|)abtax(.|#|)
ABTACH	(.|#|)Qabtax(.|#|)
ABTAJOMA	(.|#|)abtajOma(.|#|)
ABTAJOMA	(.|#|)QabtajOma(.|#|)
ABTAM	(.|#|)abtam(.|#|)
ABTAM	(.|#|)Qabtam(.|#|)
ABTISA	(.|#|)abtisa(.|#|)
ABTISA	(.|#|)Qabtisa(.|#|)
ABTISAMI	(.|#|)abtisami(.|#|)
ABTISAMI	(.|#|)Qabtisami(.|#|)
ABTOJU	(.|#|)abtOju(.|#|)
ABTOJU	(.|#|)QabtOju(.|#|)
ABTOMA	(.|#|)abtOma(.|#|)
ABTOMA	(.|#|)QabtOma(.|#|)
ABTOWNJAMI	(.|#|)abtOunjami(.|#|)
ABTOWNJAMI	(.|#|)abtounjami(.|#|)
ABTOWNJAMI	(.|#|)QabtOunjami(.|#|)
ABTOWNJAMI	(.|#|)Qabtounjami(.|#|)
ABTU	(.|#|)abtu(.|#|)
ABTU	(.|#|)Qabtu(.|#|)
ABTY	(.|#|)abt1(.|#|)
